FICO,TotalAmtOwed,Volume,Stress,Num_Delinquent,Num_CreditLines,WomanOwned,CorpStructure,NAICS,Months
705,624272.049,321168.2009466712,0.16197951913252512,4,12,1,Corp,722410,20
726,307452.225,147881.83444096177,0.17325331976611752,4,11,1,Sole,445230,26
769,327600.818,64193.75562018929,0.4252760709030809,4,9,0,LLC,445292,22
707,71565.8,136012.71775506032,0.043847492830829664,4,8,1,Partner,722330,19
797,444692.656,467532.51395192905,0.07926234053776109,4,11,0,Corp,445292,26
717,73799.223,12652.857686982074,0.48605108838988814,4,12,0,Partner,445230,17
669,200378.149,83174.16019423916,0.20076161928581623,4,12,0,LLC,722410,22
757,564671.65,205888.95200555556,0.22855024698976373,4,13,1,Corp,458210,13
741,166774.911,71666.66997408682,0.1939243061666629,4,11,1,Corp,445240,19
661,52623.008,19224.657904330248,0.2281055240873188,4,11,0,Corp,459310,23
771,99795.286,380471.02606001945,0.02185783742707766,4,9,1,LLC,459210,19
657,151165.244,52439.825476063525,0.24022016763607826,4,10,1,LLC,722513,13
646,761121.962,276153.7700909902,0.2296793925564301,4,12,0,Sole,445131,19
753,233577.852,132796.9206300694,0.1465758460937727,4,13,1,LLC,444140,33
671,54923.619,23288.016990332257,0.19653748328593515,4,12,0,Corp,441120,16
679,56489.539,19500.936766513525,0.2413966897947619,4,10,1,Partner,444240,18
698,40064.524,68516.8275414078,0.04872832635626045,4,9,1,Corp,445110,19
655,30060.594,7719.749946233565,0.32449878784250047,4,9,0,Corp,445292,17
655,330144.53,88876.31289710168,0.3095542925877144,4,11,0,Sole,445110,16
678,130918.418,141436.4592243162,0.07713617992489315,4,11,0,Partner,722513,12
677,210585.788,685035.6020438783,0.025617377570315854,4,9,1,Corp,722514,20
641,35705.369,17386.732641460607,0.17113321277923027,4,8,0,Partner,444140,21
669,49359.917,16555.350268130915,0.24845903892379909,4,12,0,Partner,722511,22
667,219989.545,61142.48223922126,0.299831825793516,4,10,0,Corp,445240,14
752,141324.173,47437.782540566935,0.2482623298548035,4,11,0,LLC,444140,23
762,558794.499,539053.1312522534,0.0863851920159036,4,12,0,Sole,722513,17
717,304346.313,69551.32434880114,0.3646543468073757,4,11,1,LLC,722514,22
686,247355.464,220044.32565834766,0.09367637757375342,4,9,0,LLC,722511,17
613,89194.251,70669.79657864552,0.10517724133715713,5,10,0,Partner,722514,15
668,310262.831,121101.26877425514,0.21350094989395538,4,11,0,Sole,441120,13
716,28893.793,18175.008996887398,0.13247949884072627,4,10,1,Partner,458210,17
660,57629.899,37616.55022848329,0.12766964419020227,4,10,0,Corp,722511,11
690,250185.253,137142.11011756494,0.15202311722825865,4,9,1,Corp,441120,18
731,241920.583,143722.08205838205,0.1402710585221276,4,11,1,Corp,445291,14
611,73980.551,24969.7320898068,0.2469007634720829,5,8,1,Partner,722511,23
740,194525.66,77555.16109590918,0.20901860608115896,4,11,1,Partner,445291,25
662,514580.923,248380.7026859693,0.17264523016326772,4,11,0,Partner,445110,17
697,42202.154,27052.424710470543,0.13000114423405026,4,11,1,Partner,445230,15
774,139709.803,84205.04109680488,0.13826349861819737,4,11,1,Sole,458210,16
668,689424.919,163223.1333005093,0.3519848897739183,4,8,1,LLC,445240,14
698,387150.259,279033.32407349104,0.11562246799896961,4,9,1,Sole,722511,14
756,115672.316,67844.84424231609,0.1420794722770462,4,10,0,LLC,445131,24
700,195530.626,158130.72735506637,0.10304271096373528,4,12,1,Sole,445240,14
751,558799.248,155976.64127497637,0.2985485750902034,4,13,0,Partner,445250,12
774,432661.525,262286.96288680553,0.13746442707826673,4,13,1,LLC,445110,20
686,250082.514,70584.92701026067,0.29525013884296486,4,9,1,Sole,444240,19
688,215759.801,56542.53001346497,0.317990429724049,4,10,0,Sole,722513,26
678,46215.484,11223.385759409775,0.34314870894501515,4,10,1,Sole,722514,22
730,271070.744,89546.7231920112,0.25226192384761587,4,8,1,Sole,444140,24
661,1316024.327,798721.0017048776,0.1373053840860298,4,10,1,Sole,445240,15
